DULICA	ULICA	PSC	DPOSTA	POSTA	POZNAMKA	OBCE
Ivana Krasku	Ivana Krasku	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
J. Bottu	J. Bottu	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
J. G. Tajovského	J. G. Tajovského	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
J. Gabora	J. Gabora	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
J. Kačku	J. Kačku	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Jahodová	Jahodová	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Janka Kráľa	Janka Kráľa	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Janka Matušku	Janka Matušku	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Jerichov	Jerichov	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Jesenského	Jesenského	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
K cintorínu	K cintorínu	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
K nemocnici	K nemocnici	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
K priehrade	K priehrade	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
K štadiónu	K štadiónu	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
K Zornici	K Zornici	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Komenského	Komenského	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
kpt. Jaroša	kpt. Jaroša	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Kraskova	Kraskova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Ku splavu	Ku splavu	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Kukučínova	Kukučínova	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Ľ. Podjavorinskej	Ľ. Podjavorinskej	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Lipová	Lipová	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Lúčna	Lúčna	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
M. R. Štefánika	M. R. Štefánika	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
M. Urbana	M. Urbana	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
M. Urbana	M. Urbana	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Matice Slovenskej	Matice Slovenskej	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Matušku	Matušku	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Mlynská	Mlynská	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Mojmírová	Mojmírová	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Moyzesova	Moyzesova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Murgašova	Murgašova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Na vŕštek	Na vŕštek	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Nám. Ľ. Štúra	Nám. Ľ. Štúra	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Novomeského	Novomeského	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Ozorovská - nová	Ozorovská - nová	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Ozorovská hlavná	Ozorovská hlavná	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Palkovičova	Palkovičova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Partizánska	Partizánska	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Potočná	Potočná	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Pribinova	Pribinova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Radlinského	Radlinského	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Rádova	Rádova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Rastislavova	Rastislavova	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Rokošská	Rokošská	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Rumunská	Rumunská	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Sasinkova	Sasinkova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Sládkovičova	Sládkovičova	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Slatinská	Slatinská	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
SNP	SNP	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Strážovská	Strážovská	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Svätoplukova	Svätoplukova	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Školská	Školská	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Tajovského	Tajovského	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Textilná	Textilná	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Topoľová	Topoľová	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Trenčianska cesta	Trenčianska cesta	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Tržnica	Tržnica	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Vajanského nábr.	Vajanského nábr.	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Vystrkov	Vystrkov	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Za valy	Za valy	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Záfortňa	Záfortňa	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
Žitná	Žitná	957 04	Bánovce nad Bebravou 1	Bánovce nad Beb. 1		Bánovce nad Bebravou
29.augusta	29. augusta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
9.mája	9. mája	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Agátová	Agátová	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Achátová	Achátová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Akvamarínová	Akvamarínová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Alexandra Matušku	Alexandra Matušku	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Ametystová	Ametystová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Astrová	Astrová	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Azalková	Azalková	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Bagarova	Bagarova	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Bakossova	Bakossova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Banícka	Banícka	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Bazová	Bazová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Bellušova	Bellušova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Bernolákova	Bernolákova	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Beskydská	Beskydská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Bočná	Bočná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Borievková	Borievková	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Borovicová	Borovicová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Boženy Němcovej	Boženy Němcovej	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Brestová	Brestová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Brezová	Brezová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Bronzová	Bronzová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Bučinová	Bučinová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Buková	Buková	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Cementárenská cesta	Cementárenská cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Cesta k nemocnici	Cesta k nemocnici	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Cesta k Smrečine	Cesta k Smrečine	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Cesta na amfiteáter	Cesta na amfiteáter	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Cesta na štadión	Cesta na štadión	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Cintorínska	Cintorínska	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Cmárovo	Cmárovo	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Čerešňová	Čerešňová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Československej armády	ČSA	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Dedinská	Dedinská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Diamantová	Diamantová				pozri Diamantová ulica	Banská Bystrica
Diamantová ulica	Diamantová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Dobšinského	Dobšinského	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Dolná	Dolná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Dolná Strieborná	Dolná Strieborná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Drienková	Drienková	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Družby	Družby	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Družstevná	Družstevná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Dubová	Dubová	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Dúhová	Dúhová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Ďumbierska	Ďumbierska	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
F. Švantnera	F. Švantnera	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Fatranská	Fatranská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Figuša Bystrého	Figuša Bystrého	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Fraňa Kráľa	Fraňa Kráľa	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Garbanka	Garbanka	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Gaštanová	Gaštanová	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Gerberová	Gerberová	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Gerlachovská	Gerlachovská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Golianova	Golianova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Gorkého	Gorkého	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Harmanecká cesta	Harmanecká cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Haškova	Haškova	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Havranské	Havranské	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Hečkova	Hečkova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Hlboká	Hlboká	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Horná	Horná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Horná Strieborná	Horná Strieborná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Horné záhrady	Horné záhrady	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Hronská	Hronská	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Hronské predmestie	Hronské predm.	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Hrušková	Hrušková	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Hurbanova	Hurbanova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Hutná	Hutná	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Hviezdoslavova	Hviezdoslavova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Chabenecká	Chabenecká	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Iliašska cesta	Iliašska cesta	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Inovecká	Inovecká	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Internátna	Internátna	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
J. Cikkera	J. Cikkera	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jabloňová	Jabloňová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Jakuba Pribicera	Jakuba Pribicera	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Jakubská cesta	Jakubská cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jána Bottu	Jána Bottu	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jána Chalupku	Jána Chalupku	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jána Móryho	Jána Móryho	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Janka Kráľa	Janka Kráľa	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jantárová ulica	Jantárová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Jarabinová	Jarabinová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Jarná	Jarná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Jaseňová	Jaseňová	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Jaspisová ulica	Jaspisová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Javornícka	Javornícka	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Javorová	Javorová	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Jazmínová	Jazmínová	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Jedľová	Jedľová	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Jegorovova	Jegorovova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jelšová	Jelšová	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jesenná	Jesenná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Jesenského	Jesenského	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jilemnického	Jilemnického	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Jiráskova	Jiráskova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Jozefa Mistríka	Jozefa Mistríka	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
K lomu	K lomu	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Kalinčiakova	Kalinčiakova	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
kapitána Jaroša	kpt. Jaroša	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
kapitána Nálepku	kpt. Nálepku	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Kapitulská	Kapitulská	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Karpatská	Karpatská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Katovná	Katovná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Kláry Jarunkovej	Jarunkovej	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Klenová ulica	Klenová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Kollárova	Kollárova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Komenského	Komenského	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Kostiviarska cesta	Kostiviarska cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Kovačická	Kovačická	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Králická cesta	Králická cesta	976 34	Tajov	Tajov	1372/6	Banská Bystrica
Kráľovohoľská	Kráľovohoľská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Krátka	Krátka	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Kremnička	Kremnička	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Krivánska	Krivánska	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Krížna	Krížna	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Kukučínova	Kukučínova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Kuzmányho	Kuzmányho	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Kvetinová	Kvetinová	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Kyjevské námestie	Kyjevské nám.	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Ľaliová	Ľaliová	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Laskomerská	Laskomerská	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Lazovná	Lazovná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Lesná	Lesná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Letná	Letná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Liesková ulica	Liesková ulica	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Limbová	Limbová	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Lipová	Lipová	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Lúčičky	Lúčičky	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Ľuda Ondrejova	Ľuda Ondrejova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Ľupčianska	Ľupčianska	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
M. Hattalu	M. Hattalu	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
M. M. Hodžu	M. M. Hodžu	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
M. Rázusa	M. Rázusa	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Magurská	Magurská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Majerská cesta	Majerská cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Malachitová	Malachitová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Malachovská cesta	Malachovská cesta	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Marka Čulena	Marka Čulena	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Mateja Bela	M. Bela	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Medená	Medená	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Medený Hámor	Medený Hámor	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Mičinská cesta	Mičinská cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Mieru	Mieru	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Mikuláša Kováča	M. Kováča	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Mládežnícka	Mládežnícka	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Mladých budovateľov	Mladých budovateľov	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Mlynská	Mlynská	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Mosadzná	Mosadzná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Moskovská	Moskovská	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Murgašova	Murgašova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Muškátová ulica	Muškátová	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Na Čiertolí	Na Čiertolí	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Na Dolinky	Na Dolinky	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Na Graniari	Na Graniari	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Na Hrbe	Na Hrbe	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Na Karlove	Na Karlove	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Na Kútinách	Na Kútinách	976 34	Tajov	Tajov		Banská Bystrica
Na Lúčkach	Na Lúčkach	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Na Motyčinách	Na Motyčinách	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Na plaváreň	Na plaváreň	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Na Skalici	Na Skalici	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Na Starej tehelni	Na Starej tehelni	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Na Tále	Na Tále	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Na Troskách	Na Troskách	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Na úbočí	Na úbočí	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Na Uhlisku	Na Uhlisku	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Na Zábave	Na Zábave	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Nad plážou	Nad plážou	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Nám. Ľ. Štúra	Námestie Ľ. Štúra	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Nám. slobody	Námestie slobody	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Námestie Ludvika Svobodu	Nám. Ludvika Svobodu	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Námestie SNP	Nám. SNP	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Námestie Š. Moysesa	Nám. Š. Moysesa	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Národná	Národná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Nemčianska cesta	Nemčianska cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Nešporova	Nešporova	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
